artist,energy,danceability,valence,instrumentalness,acousticness,speechiness,tempo,loudness
A Day to Remember,0.9079,0.4462999999999999,0.4526,1.1403e-05,0.012092269999999999,0.09965,147.1963,-3.9737
AJR,0.6378,0.5945000000000003,0.5553999999999999,0.0,0.16627,0.07905,125.04870000000001,-5.331799999999999
Ainda,0.2828,0.5975999999999999,0.39894999999999997,0.0024667499999999998,0.7541,0.040139999999999995,126.89299999999999,-11.4613
Airbag,0.7816000000000001,0.43710000000000004,0.4093,0.0034907499999999995,0.03331606000000001,0.04284,117.2577,-4.7051
Alan Walker,0.6822,0.5669,0.3462,0.00023959700000000003,0.20684000000000005,0.05304,132.767,-5.539300000000001
Alejo y Valentin,0.4839999999999999,0.5127,0.26377999999999996,0.0215285,0.170499,0.029849999999999998,108.0972,-8.056700000000001
Amaia,0.43200000000000005,0.5438,0.2934,1.919e-06,0.5889300000000001,0.034859999999999995,123.69469999999997,-7.081599999999999
Armin Van Buuren,0.9009999999999998,0.5823000000000002,0.2511,0.116649623,0.022893,0.058929999999999996,127.6412,-4.941299999999999
Axel Fiks,0.5173,0.697,0.43,0.0030109629999999997,0.21535510000000002,0.14939,127.56869999999999,-8.277400000000002
Bizarrap,0.6496999999999999,0.7997,0.6327999999999999,3.2815000000000003e-05,0.286464,0.21913,113.0942,-5.949800000000001
Boombox Cartel,0.8426,0.6176999999999999,0.30964,0.11223665999999999,0.098077,0.13265,139.58710000000002,-3.3726
Brockhampton,0.6063999999999999,0.7011,0.6048,0.0050771,0.43326000000000003,0.12062000000000002,118.1253,-6.9027
Cage the Elephant,0.7865,0.5719000000000001,0.594,0.007132989000000001,0.06138300000000001,0.04209,123.03649999999998,-4.3102
Charli XCX,0.7085999999999999,0.7598,0.5123,8.543e-05,0.055830000000000005,0.07690000000000001,113.98970000000001,-4.5581000000000005
Chris Lake,0.8881,0.7831,0.7028,0.22426629,0.0123039,0.05991,125.10119999999999,-5.329
Cimafunk,0.6877000000000001,0.8215999999999999,0.7156999999999999,0.00039991900000000004,0.17600999999999997,0.09661,123.56350000000002,-6.9962
D3FAI,0.9724,0.6212,0.19784000000000002,0.16449124999999998,0.01089829,0.10264,128.3447,-3.0850999999999997
DABOW,0.7921,0.6809000000000001,0.26925,0.28683271299999996,0.119484,0.18792999999999999,134.69670000000002,-5.1008
DJ Sky,0.8752000000000001,0.7516,0.6106,0.168702257,0.050359100000000004,0.11320000000000001,130.2297,-5.4229
DUKI,0.6837,0.7667999999999999,0.5048,5.46e-07,0.3034,0.16841,123.60040000000001,-5.363300000000001
Dani,0.5935,0.723125,0.44075000000000003,0.0030391274999999997,0.32565000000000005,0.2340375,126.19349999999999,-8.150374999999999
Denzel Curry,0.6563,0.7078,0.5482,2.1672e-05,0.17027699999999998,0.15263,124.67280000000001,-6.7649
El Buen Salvaje,0.8548,0.5213,0.4145,0.00017415,0.044880500000000004,0.06575,115.91960000000002,-5.7478
El Mató a un Policía Motorizado,0.6208,0.45519999999999994,0.38239999999999996,0.15868787999999998,0.12135,0.03241,114.95110000000003,-7.649500000000001
Elsa y Elmar,0.5110000000000001,0.7189,0.5037,0.027541272,0.130143,0.05978,127.5451,-8.427800000000001
Emilia,0.7335,0.7949999999999999,0.7250000000000001,7.134e-05,0.1452,0.0902,137.24824999999998,-4.3985
Emmanuel Horvilleur,0.6268,0.6747999999999998,0.5861999999999999,0.000972935,0.3332299999999999,0.0393,127.76700000000001,-7.632400000000001
Fabiana Cantilo,0.5567,0.6035999999999999,0.5631999999999999,2.31e-06,0.37944000000000006,0.03028,122.5607,-7.9042
