artist,tsne_0,tsne_1,cluster,cluster_name,followers
Travis Scott,-49.622486,-63.16502,0,Hip hop & rap,7705985
Martin Garrix,23.056034,46.40569,1,EDM & house,12574151
Los Fabulosos Cadillacs,-27.807325,33.983185,2-0,Argentinian rock,1672897
Brockhampton,-33.395466,-67.09489,0,Hip hop & rap,1186410
DUKI,84.602455,-40.784866,3,Argentinian trap,2715207
Madeon,35.412323,57.681385,1,EDM & house,504885
Rita Ora,51.137104,-5.8126745,4,International pop,5359183
A Day to Remember,-40.31059,-11.654452,-1,Undetermined,1579818
King Princess,29.56023,0.931258,4,International pop,585779
LP,-23.219965,-28.31748,5,International indie & rock,1445095
WOS,84.582726,-19.737904,3,Argentinian trap,746081
Denzel Curry,-43.330734,-72.08132,0,Hip hop & rap,1114682
Yungblud,1.4934511,-23.115196,5,International indie & rock,685379
Nathy Peluso,33.343933,-72.407455,6,Latin trap,167574
J mena,-53.090645,72.97529,7,Argentinian pop,231550
AJR,12.1076975,-15.138802,5,International indie & rock,1106332
Louta,-62.522312,28.954466,2-1,Argentinian indie,50062
Two Feet,-0.6729886,-13.994924,5,International indie & rock,832628
Bizarrap,79.95461,-30.717422,3,Argentinian trap,590904
Fuego,59.10889,-52.810863,6,Latin trap,166715
La Delio Valdez,-53.13968,42.421066,2-0,Argentinian rock,58993
Dani,96.69741,-19.749884,3,Argentinian trap,57292
Kaydy Cain,39.834553,-85.91936,6,Latin trap,162557
Maye,4.53772,12.1842575,5,International indie & rock,15556
Boombox Cartel,51.194324,61.447704,1,EDM & house,155309
Cimafunk,-23.173883,2.8419003,-1,Undetermined,10179
Ms Nina,44.274357,-75.694786,6,Latin trap,60603
Feli Colina,-80.64257,14.197779,2-1,Argentinian indie,4001
Axel Fiks,-70.34993,9.307594,2-1,Argentinian indie,2479
Lucia Tacchetti,-93.04047,35.443394,2-1,Argentinian indie,7002
DJ Sky,-8.120002,-7.5583773,5,International indie & rock,77
Alejo y Valentin,-77.22388,42.89128,2-1,Argentinian indie,1234
The Strokes,-1.2143425,-43.571774,5,International indie & rock,3019899
Gwen Stefani,58.40831,-12.460992,4,International pop,3584137
Armin Van Buuren,9.81442,44.62987,1,EDM & house,3285835
Vampire Weekend,-9.898717,-34.44031,5,International indie & rock,1512168
Ratones Paranoicos,-34.91157,43.659218,2-0,Argentinian rock,183915
ILLENIUM,36.0224,69.79639,1,EDM & house,772758
Kacey Musgraves,38.192017,-25.638613,4,International pop,687243
Litto Nebbia,-42.90405,50.41244,2-0,Argentinian rock,19397
Charli XCX,40.78187,11.628387,4,International pop,1921146
