artist,is_argentinian
Travis Scott,0
Martin Garrix,0
Los Fabulosos Cadillacs,1
BROCKHAMPTON,0
Duki,1
Madeon,0
Rita Ora,0
A Day To Remember,0
King Princess,0
LP,0
WOS,1
Denzel Curry,0
YUNGBLUD,0
Nathy Peluso,1
j mena,1
AJR,0
LOUTA,1
Two Feet,0
Bizarrap,1
Fuego,0
La Delio Valdez,1
Dani Filth,0
Kaydy Cain,0
maye,0
Boombox Cartel,0
Cimafunk,0
Ms Nina,1
Feli Colina,1
Axel Fiks,1
Lucia Tacchetti,1
DJ Big Sky,0
Alejo y Valentin,1
The Strokes,0
Gwen Stefani,0
Armin van Buuren,0
Vampire Weekend,0
Ratones Paranoicos,1
ILLENIUM,0
Kacey Musgraves,0
Litto Nebbia,1
Charli XCX,0
Jaden,0
R3HAB,0
Hayley Kiyoko,0
El Mató a un Policía Motorizado,1
Rels B,0
Emmanuel Horvilleur,1
Kali Uchis,0
Paloma Mami,0
Fabiana Cantilo,1
Trueno,1
Amaia Montero,0
Wallows,0
Yung Beef,0
Zoe Gotusso,1
Girl Ultra,0
Las Ligas Menores,1
Ainda,1
Ghetto Kids,0
D3FAI,0
Paco Leiva,1
La Arrolladora Banda El Limón De Rene Camacho,0
Louly,1
Guns N' Roses,0
Lana Del Rey,0
Cage The Elephant,0
James Blake,0
Alan Walker,0
Rezz,0
The Lumineers,0
Rex Orange County,0
Audrey Mika,0
Perry Farrell’s Kind Heaven Orchestra,0
Airbag,1
Lauv,0
Ysy A,1
Chris Lake,0
Pabllo Vittar,0
San Holo,0
Emilia,1
IDLES,0
Masego,0
The HU,0
Elsa y Elmar,0
Natalie Perez,1
GoldFish,0
Florian Picasso,0
Miranda Johansen,1
Dabow,1
El Buen Salvaje,1
REYDEL,1
