track,artist,track,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Travis Scott,3eekarcy7kvN4yt5ZFzltW,0.0546,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW,0.598,175721,0.427,3eekarcy7kvN4yt5ZFzltW,5.83e-06,7,0.21,-8.764,0,0.0317,76.469,4,https://api.spotify.com/v1/tracks/3eekarcy7kvN4yt5ZFzltW,audio_features,spotify:track:3eekarcy7kvN4yt5ZFzltW,0.0605
1,Travis Scott,7h0d2h0fUmzbs7zeFigJPn,0.0567,https://api.spotify.com/v1/audio-analysis/7h0d2h0fUmzbs7zeFigJPn,0.559,244874,0.491,7h0d2h0fUmzbs7zeFigJPn,0.0,2,0.0992,-6.406,0,0.0346,153.131,4,https://api.spotify.com/v1/tracks/7h0d2h0fUmzbs7zeFigJPn,audio_features,spotify:track:7h0d2h0fUmzbs7zeFigJPn,0.114
2,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,312820,0.73,2xLMifQCjDGFmkHkpNLD9h,0.0,8,0.124,-3.714,1,0.222,155.008,4,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446
3,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,0.0847,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,0.841,243837,0.728,6gBFPUFcJLzWGx4lenP6h2,0.0,7,0.149,-3.37,1,0.0484,130.049,4,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,0.43
4,Travis Scott,4ea9w8c4ROqiZpJVhfBA3m,0.188,https://api.spotify.com/v1/audio-analysis/4ea9w8c4ROqiZpJVhfBA3m,0.845,279907,0.631,4ea9w8c4ROqiZpJVhfBA3m,0.0,7,0.0806,-8.206,0,0.216,111.983,4,https://api.spotify.com/v1/tracks/4ea9w8c4ROqiZpJVhfBA3m,audio_features,spotify:track:4ea9w8c4ROqiZpJVhfBA3m,0.545
5,Travis Scott,4AO1XhrgJczQ9bNVxdfKQe,0.0695,https://api.spotify.com/v1/audio-analysis/4AO1XhrgJczQ9bNVxdfKQe,0.643,250142,0.594,4AO1XhrgJczQ9bNVxdfKQe,1.46e-05,9,0.115,-5.191,0,0.0312,118.037,4,https://api.spotify.com/v1/tracks/4AO1XhrgJczQ9bNVxdfKQe,audio_features,spotify:track:4AO1XhrgJczQ9bNVxdfKQe,0.195
6,Travis Scott,2cYqizR4lgvp4Qu6IQ3qGN,0.0531,https://api.spotify.com/v1/audio-analysis/2cYqizR4lgvp4Qu6IQ3qGN,0.763,190557,0.628,2cYqizR4lgvp4Qu6IQ3qGN,0.0,11,0.114,-5.85,1,0.05,140.958,4,https://api.spotify.com/v1/tracks/2cYqizR4lgvp4Qu6IQ3qGN,audio_features,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,0.193
7,Travis Scott,3s4mrPrEFFPF0LmAfutW0n,0.0249,https://api.spotify.com/v1/audio-analysis/3s4mrPrEFFPF0LmAfutW0n,0.784,200187,0.517,3s4mrPrEFFPF0LmAfutW0n,1.44e-06,4,0.155,-8.981,0,0.209,97.991,4,https://api.spotify.com/v1/tracks/3s4mrPrEFFPF0LmAfutW0n,audio_features,spotify:track:3s4mrPrEFFPF0LmAfutW0n,0.206
8,Travis Scott,40mjsnRjCpycdUw3xhS20g,0.135,https://api.spotify.com/v1/audio-analysis/40mjsnRjCpycdUw3xhS20g,0.594,181145,0.676,40mjsnRjCpycdUw3xhS20g,0.0,2,0.163,-5.808,1,0.344,143.477,4,https://api.spotify.com/v1/tracks/40mjsnRjCpycdUw3xhS20g,audio_features,spotify:track:40mjsnRjCpycdUw3xhS20g,0.472
9,Travis Scott,7lAK3oHbfEnvUQWosrMMpR,0.283,https://api.spotify.com/v1/audio-analysis/7lAK3oHbfEnvUQWosrMMpR,0.785,150043,0.554,7lAK3oHbfEnvUQWosrMMpR,3.4e-06,0,0.116,-6.571,1,0.0409,128.047,4,https://api.spotify.com/v1/tracks/7lAK3oHbfEnvUQWosrMMpR,audio_features,spotify:track:7lAK3oHbfEnvUQWosrMMpR,0.144
10,Martin Garrix,7Feaw9WAEREY0DUOSXJLOM,0.179,https://api.spotify.com/v1/audio-analysis/7Feaw9WAEREY0DUOSXJLOM,0.661,163805,0.723,7Feaw9WAEREY0DUOSXJLOM,1.23e-05,5,0.14,-6.976,0,0.0566,113.778,4,https://api.spotify.com/v1/tracks/7Feaw9WAEREY0DUOSXJLOM,audio_features,spotify:track:7Feaw9WAEREY0DUOSXJLOM,0.316
11,Martin Garrix,7pWK1kMgHy5lNNiIfuRbkP,0.458,https://api.spotify.com/v1/audio-analysis/7pWK1kMgHy5lNNiIfuRbkP,0.651,236765,0.693,7pWK1kMgHy5lNNiIfuRbkP,0.0,4,0.335,-4.722,1,0.0375,118.97,4,https://api.spotify.com/v1/tracks/7pWK1kMgHy5lNNiIfuRbkP,audio_features,spotify:track:7pWK1kMgHy5lNNiIfuRbkP,0.392
12,Martin Garrix,3ebXMykcMXOcLeJ9xZ17XH,0.0895,https://api.spotify.com/v1/audio-analysis/3ebXMykcMXOcLeJ9xZ17XH,0.584,220883,0.54,3ebXMykcMXOcLeJ9xZ17XH,0.0,1,0.261,-7.786,0,0.0576,137.972,4,https://api.spotify.com/v1/tracks/3ebXMykcMXOcLeJ9xZ17XH,audio_features,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,0.195
13,Martin Garrix,23L5CiUhw2jV1OIMwthR3S,0.109,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,0.501,195707,0.519,23L5CiUhw2jV1OIMwthR3S,0.0,4,0.454,-5.88,0,0.0409,133.99,4,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,audio_features,spotify:track:23L5CiUhw2jV1OIMwthR3S,0.168
14,Martin Garrix,4ut5G4rgB1ClpMTMfjoIuy,0.0129,https://api.spotify.com/v1/audio-analysis/4ut5G4rgB1ClpMTMfjoIuy,0.414,230762,0.486,4ut5G4rgB1ClpMTMfjoIuy,0.0,6,0.111,-6.431,0,0.0311,128.038,4,https://api.spotify.com/v1/tracks/4ut5G4rgB1ClpMTMfjoIuy,audio_features,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,0.368
